,name,price,link,info,picture
0,سكودا اوكتافيا A8 Style,"EGP 305,000",https://www.olx.com.eg/en/ad/%D8%B3%D9%83%D9%88%D8%AF%D8%A7-%D8%A7%D9%88%D9%83%D8%AA%D8%A7%D9%81%D9%8A%D8%A7-a8-style-ID178931387.html,"New Cairo - El Tagamoa, Cairo•",https://images.olx.com.eg/thumbnails/19794568-240x180.jpeg
1,سكودا اوكتافيا A8 الفئه الاولى,"EGP 250,000",https://www.olx.com.eg/en/ad/%D8%B3%D9%83%D9%88%D8%AF%D8%A7-%D8%A7%D9%88%D9%83%D8%AA%D8%A7%D9%81%D9%8A%D8%A7-a8-%D8%A7%D9%84%D9%81%D8%A6%D9%87-%D8%A7%D9%84%D8%A7%D9%88%D9%84%D9%89-ID179489983.html,"Heliopolis, Cairo•",https://images.olx.com.eg/thumbnails/19798274-240x180.jpeg
2,Skoda Octavia A8,"EGP 430,000",https://www.olx.com.eg/en/ad/skoda-octavia-a8-ID195860127.html,"Tanta, Gharbia•",https://images.olx.com.eg/thumbnails/50475941-240x180.jpeg
3,سكودا اوكتافيا A8 ستايل بلس,"EGP 360,000",https://www.olx.com.eg/en/ad/%D8%B3%D9%83%D9%88%D8%AF%D8%A7-%D8%A7%D9%88%D9%83%D8%AA%D8%A7%D9%81%D9%8A%D8%A7-a8-%D8%B3%D8%AA%D8%A7%D9%8A%D9%84-%D8%A8%D9%84%D8%B3-ID179852603.html,"Heliopolis, Cairo•",https://images.olx.com.eg/thumbnails/19802218-240x180.jpeg
4,Skoda kodiaq sportline 4×4 2022. . . . . . . . . . سكودا كودياك سبورت لاين 2022,"EGP 565,000",https://www.olx.com.eg/en/ad/skoda-kodiaq-sportline-44-2022-%D8%B3%D9%83%D9%88%D8%AF%D8%A7-%D9%83%D9%88%D8%AF%D9%8A%D8%A7%D9%83-%D8%B3%D8%A8%D9%88%D8%B1%D8%AA-%D9%84%D8%A7%D9%8A%D9%86-2022-ID195492606.html,"Ismailia City, Ismailia•",https://images.olx.com.eg/thumbnails/48615762-240x180.jpeg
5,سكودا اوكتافيا A8 الفئه الثانيه,"EGP 260,000",https://www.olx.com.eg/en/ad/%D8%B3%D9%83%D9%88%D8%AF%D8%A7-%D8%A7%D9%88%D9%83%D8%AA%D8%A7%D9%81%D9%8A%D8%A7-a8-%D8%A7%D9%84%D9%81%D8%A6%D9%87-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D9%87-ID179490263.html,"Maadi, Cairo•",https://images.olx.com.eg/thumbnails/19797892-240x180.jpeg
6,سكودا كودياك2022 كسر زيرو,"EGP 1,675,000",https://www.olx.com.eg/en/ad/%D8%B3%D9%83%D9%88%D8%AF%D8%A7-%D9%83%D9%88%D8%AF%D9%8A%D8%A7%D9%832022-%D9%83%D8%B3%D8%B1-%D8%B2%D9%8A%D8%B1%D9%88-ID196013085.html,"Sheikh Zayed, Giza•",https://images.olx.com.eg/thumbnails/51251155-240x180.jpeg
7,سكودا اوكتافيا a8,"EGP 300,000",https://www.olx.com.eg/en/ad/%D8%B3%D9%83%D9%88%D8%AF%D8%A7-%D8%A7%D9%88%D9%83%D8%AA%D8%A7%D9%81%D9%8A%D8%A7-a8-ID184799084.html,"Heliopolis, Cairo•",https://images.olx.com.eg/thumbnails/11775132-240x180.jpeg
8,Skoda actavia A7 2020,"EGP 850,000",https://www.olx.com.eg/en/ad/skoda-actavia-a7-2020-ID196123220.html,"Sheikh Zayed, Giza•",https://images.olx.com.eg/thumbnails/51811222-240x180.jpeg
9,skoda a7 2020,"EGP 770,000",https://www.olx.com.eg/en/ad/skoda-a7-2020-ID195770502.html,"Almazah, Cairo•",https://images.olx.com.eg/thumbnails/51105597-240x180.jpeg
